epoch,train_loss,train_miou,val_loss,val_miou,road_iou,sidewalk_iou,building_iou,wall_iou,fence_iou,pole_iou,traffic_light_iou,traffic_sign_iou,vegetation_iou,terrain_iou,sky_iou,person_iou,rider_iou,car_iou,truck_iou,bus_iou,train_cls_iou,motorcycle_iou,bicycle_iou
1,0.6444,0.1707,0.5000,0.2301,0.9287,0.2965,0.7356,0.0000,0.0000,0.0000,0.0000,0.0000,0.8382,0.0000,0.8054,0.0000,0.0000,0.7680,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.4438,0.2580,0.4029,0.2868,0.9590,0.5049,0.8433,0.0000,0.0000,0.2117,0.0000,0.2587,0.8811,0.0000,0.8990,0.0294,0.0000,0.8625,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.3600,0.3586,0.3530,0.3796,0.9626,0.7071,0.8459,0.0000,0.0137,0.3818,0.0048,0.5804,0.8737,0.4437,0.9063,0.4797,0.0000,0.8709,0.0000,0.0006,0.0000,0.0000,0.1406
4,0.3163,0.4338,0.3240,0.4426,0.9668,0.7340,0.8630,0.0000,0.1630,0.3938,0.3447,0.6393,0.8855,0.4764,0.9159,0.5826,0.0014,0.8834,0.0000,0.0000,0.0000,0.0000,0.5590
5,0.2899,0.4850,0.3135,0.4645,0.9613,0.7141,0.8573,0.0086,0.1468,0.4527,0.4273,0.6396,0.8909,0.4716,0.8800,0.6575,0.2516,0.8808,0.0000,0.0009,0.0000,0.0000,0.5841
6,0.2724,0.5196,0.2954,0.5120,0.9670,0.7502,0.8771,0.1544,0.2795,0.4688,0.5099,0.6729,0.8844,0.4399,0.9246,0.6624,0.3237,0.8898,0.0000,0.2876,0.0000,0.0002,0.6364
7,0.2609,0.5577,0.2855,0.5398,0.9688,0.7598,0.8763,0.2089,0.3732,0.4816,0.5201,0.6758,0.8885,0.5203,0.9251,0.6884,0.3462,0.9010,0.0000,0.3421,0.0000,0.1406,0.6399
8,0.2522,0.5906,0.2858,0.5399,0.9692,0.7617,0.8782,0.2123,0.3359,0.4810,0.5414,0.6768,0.8936,0.4750,0.9094,0.6834,0.3903,0.8923,0.0001,0.3244,0.0024,0.1793,0.6521
9,0.2444,0.6073,0.2856,0.5653,0.9650,0.7390,0.8772,0.2639,0.3648,0.5096,0.5420,0.6617,0.8970,0.5122,0.9194,0.7088,0.4251,0.8955,0.0810,0.3284,0.1326,0.2498,0.6674
10,0.2393,0.6388,0.2843,0.5613,0.9642,0.7433,0.8837,0.3043,0.3540,0.4949,0.4960,0.6733,0.8932,0.4958,0.9260,0.7092,0.4287,0.9049,0.1546,0.1648,0.1704,0.2493,0.6534
11,0.2340,0.6531,0.2787,0.5671,0.9660,0.7510,0.8907,0.3203,0.3308,0.5159,0.5146,0.6708,0.8997,0.5013,0.9302,0.7186,0.4186,0.9064,0.1812,0.0989,0.1923,0.2909,0.6760
12,0.2295,0.6734,0.2779,0.5636,0.9676,0.7574,0.8869,0.3110,0.3877,0.5080,0.5704,0.6796,0.8987,0.5152,0.9311,0.7213,0.4418,0.9061,0.1846,0.0140,0.1507,0.1997,0.6773
13,0.2270,0.6793,0.2774,0.5892,0.9694,0.7625,0.8856,0.2873,0.3229,0.5312,0.5777,0.6979,0.9001,0.5342,0.9285,0.7218,0.4497,0.8983,0.1984,0.1972,0.3437,0.3022,0.6866
14,0.2228,0.6982,0.2733,0.5864,0.9692,0.7676,0.8927,0.2371,0.3748,0.5310,0.5800,0.6998,0.8981,0.5139,0.9206,0.7127,0.4313,0.9102,0.3064,0.3111,0.1020,0.2978,0.6851
15,0.2192,0.7101,0.2766,0.5902,0.9674,0.7563,0.8862,0.2737,0.3069,0.5280,0.5830,0.6781,0.9013,0.5192,0.9331,0.7206,0.4461,0.9039,0.2650,0.3583,0.2748,0.2272,0.6843
16,0.2166,0.7297,0.2755,0.5987,0.9636,0.7376,0.8895,0.2752,0.3406,0.5346,0.5858,0.6871,0.9027,0.5462,0.9334,0.7305,0.4576,0.9025,0.2586,0.3946,0.2097,0.3357,0.6900
17,0.2137,0.7438,0.2760,0.5862,0.9694,0.7655,0.8856,0.2935,0.2695,0.5321,0.5776,0.6845,0.9014,0.5373,0.9300,0.7271,0.4620,0.9079,0.2405,0.1895,0.2831,0.2799,0.7009
18,0.2125,0.7438,0.2720,0.6116,0.9686,0.7643,0.8899,0.2898,0.3794,0.5419,0.5862,0.6960,0.9021,0.5266,0.9296,0.7385,0.4978,0.9070,0.2921,0.2131,0.4170,0.3713,0.7095
19,0.2083,0.7749,0.2738,0.6140,0.9636,0.7381,0.8897,0.3154,0.3356,0.5361,0.5928,0.7072,0.9052,0.5409,0.9241,0.7426,0.4482,0.9134,0.3183,0.3815,0.4152,0.3141,0.6844
20,0.2055,0.7929,0.2762,0.6178,0.9587,0.7142,0.8901,0.2963,0.3700,0.5435,0.5756,0.6982,0.9033,0.5028,0.9315,0.7074,0.4500,0.9055,0.3493,0.4783,0.4113,0.3562,0.6952
21,0.2037,0.8009,0.2705,0.6197,0.9679,0.7667,0.8933,0.3246,0.3333,0.5462,0.5923,0.6962,0.8992,0.5470,0.9363,0.7257,0.4358,0.9085,0.3317,0.5275,0.3472,0.3091,0.6862
22,0.2017,0.8163,0.2716,0.6176,0.9692,0.7720,0.8926,0.3403,0.2933,0.5409,0.5713,0.6852,0.8988,0.5247,0.9332,0.7385,0.4925,0.9167,0.1699,0.4911,0.4210,0.3777,0.7064
23,0.1993,0.8210,0.2699,0.6287,0.9687,0.7698,0.8914,0.3081,0.3987,0.5429,0.5740,0.6963,0.9010,0.5314,0.9367,0.7326,0.4725,0.9143,0.3424,0.4835,0.4781,0.3192,0.6833
24,0.1982,0.8328,0.2692,0.6440,0.9688,0.7701,0.8888,0.3325,0.3816,0.5537,0.6128,0.7001,0.9044,0.5642,0.9340,0.7432,0.4957,0.9165,0.3538,0.5108,0.4938,0.4004,0.7107
25,0.1985,0.8161,0.2727,0.6255,0.9671,0.7605,0.8932,0.3461,0.3656,0.5577,0.5976,0.7058,0.8960,0.4868,0.9183,0.7284,0.4838,0.8960,0.3844,0.3615,0.4474,0.3724,0.7151
26,0.1960,0.8368,0.2676,0.6376,0.9690,0.7768,0.8938,0.2978,0.4164,0.5576,0.5868,0.7050,0.9032,0.5376,0.9359,0.7308,0.4860,0.9149,0.3976,0.5613,0.3509,0.3875,0.7058
27,0.1942,0.8380,0.2667,0.6452,0.9717,0.7844,0.8876,0.3650,0.3793,0.5538,0.6033,0.7056,0.8993,0.5545,0.9347,0.7406,0.4993,0.9162,0.3721,0.5520,0.4269,0.4105,0.7018
28,0.1939,0.8415,0.2687,0.6395,0.9665,0.7533,0.8952,0.3571,0.4004,0.5507,0.6059,0.7098,0.8981,0.5062,0.9308,0.7469,0.5005,0.9099,0.4036,0.5232,0.3727,0.4104,0.7097
29,0.1919,0.8474,0.2649,0.6482,0.9709,0.7759,0.8960,0.3845,0.3993,0.5639,0.6127,0.7079,0.9053,0.5447,0.9353,0.7420,0.4960,0.9125,0.4247,0.5734,0.3654,0.4074,0.6980
30,0.1901,0.8538,0.2703,0.6465,0.9685,0.7546,0.8915,0.2996,0.3414,0.5568,0.5910,0.7052,0.9059,0.5311,0.9383,0.7392,0.4691,0.9135,0.4117,0.5697,0.5277,0.4609,0.7086
31,0.1894,0.8564,0.2655,0.6503,0.9708,0.7821,0.8957,0.3460,0.3648,0.5623,0.6153,0.7180,0.9042,0.5572,0.9350,0.7388,0.4889,0.9138,0.4299,0.5342,0.4745,0.4153,0.7096
32,0.1879,0.8588,0.2696,0.6451,0.9679,0.7581,0.8899,0.3059,0.3372,0.5609,0.6114,0.7163,0.9002,0.5476,0.9359,0.7466,0.4850,0.9142,0.4081,0.5791,0.4982,0.3851,0.7096
33,0.1880,0.8558,0.2765,0.6191,0.9690,0.7595,0.8807,0.2113,0.2339,0.5583,0.6103,0.7099,0.9051,0.5353,0.9310,0.7332,0.4674,0.9097,0.3850,0.4530,0.4356,0.3657,0.7086
