epoch,train_loss,train_miou,val_loss,val_miou,road_iou,sidewalk_iou,building_iou,wall_iou,fence_iou,pole_iou,traffic_light_iou,traffic_sign_iou,vegetation_iou,terrain_iou,sky_iou,person_iou,rider_iou,car_iou,truck_iou,bus_iou,train_cls_iou,motorcycle_iou,bicycle_iou
1,0.9603,0.1076,0.8389,0.1413,0.8352,0.0000,0.5629,0.0000,0.0000,0.0000,0.0000,0.0001,0.7713,0.0000,0.4657,0.0000,0.0000,0.0000,0.0013,0.0000,0.0000,0.0000,0.0480
2,0.8189,0.1551,0.7698,0.1464,0.8228,0.0000,0.6303,0.0000,0.0000,0.0000,0.0000,0.0000,0.7807,0.0000,0.4975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500
3,0.7466,0.1610,0.7156,0.1522,0.8492,0.0000,0.6124,0.0000,0.0000,0.0000,0.0000,0.0000,0.8073,0.0000,0.5772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0458
4,0.6877,0.1723,0.6605,0.1630,0.8841,0.0000,0.6746,0.0000,0.0000,0.0000,0.0000,0.0000,0.8228,0.0000,0.6705,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0448
5,0.6377,0.1815,0.6260,0.1719,0.8852,0.0000,0.7293,0.0000,0.0000,0.0000,0.0000,0.0000,0.8365,0.0000,0.6805,0.0945,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0394
6,0.6027,0.2004,0.5982,0.1960,0.8872,0.0948,0.6995,0.0000,0.0000,0.0000,0.0000,0.0000,0.8310,0.0000,0.7466,0.0018,0.0000,0.4371,0.0000,0.0000,0.0000,0.0000,0.0250
7,0.5667,0.2134,0.5696,0.1993,0.8758,0.0543,0.7220,0.0000,0.0000,0.0000,0.0000,0.0000,0.8405,0.0000,0.7751,0.0000,0.0000,0.4992,0.0000,0.0000,0.0000,0.0000,0.0201
8,0.5322,0.2421,0.5490,0.2061,0.8741,0.1989,0.7206,0.0000,0.0000,0.0000,0.0000,0.0000,0.8018,0.0000,0.6982,0.0000,0.0000,0.6216,0.0000,0.0000,0.0000,0.0000,0.0002
9,0.5040,0.2646,0.5207,0.2315,0.9126,0.3766,0.7692,0.0000,0.0000,0.0000,0.0000,0.0000,0.8537,0.0000,0.7713,0.0000,0.0000,0.7153,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.4851,0.2761,0.5035,0.2343,0.8930,0.4238,0.7614,0.0000,0.0000,0.0000,0.0000,0.0000,0.8503,0.0000,0.7381,0.0000,0.0000,0.7843,0.0000,0.0000,0.0000,0.0000,0.0000
