epoch,train_loss,train_miou,val_loss,val_miou,road_iou,sidewalk_iou,building_iou,wall_iou,fence_iou,pole_iou,traffic_light_iou,traffic_sign_iou,vegetation_iou,terrain_iou,sky_iou,person_iou,rider_iou,car_iou,truck_iou,bus_iou,train_cls_iou,motorcycle_iou,bicycle_iou
11,0.4567,0.2838,0.4818,0.2405,0.9002,0.4484,0.7557,0.0000,0.0000,0.0000,0.0000,0.0000,0.8544,0.0000,0.8077,0.0000,0.0000,0.8015,0.0000,0.0000,0.0000,0.0000,0.0010
12,0.4339,0.2897,0.4695,0.2392,0.8955,0.4440,0.7769,0.0000,0.0000,0.0000,0.0000,0.0000,0.8536,0.0000,0.7799,0.0000,0.0000,0.7930,0.0000,0.0000,0.0000,0.0000,0.0023
13,0.4166,0.2942,0.4581,0.2489,0.8945,0.4541,0.8056,0.0000,0.0000,0.0000,0.0000,0.0000,0.8587,0.0000,0.8155,0.0000,0.0000,0.8162,0.0000,0.0000,0.0000,0.0000,0.0843
14,0.4049,0.2987,0.4504,0.2480,0.9100,0.4786,0.7936,0.0000,0.0000,0.0000,0.0000,0.0001,0.8567,0.0000,0.8120,0.0000,0.0000,0.7887,0.0000,0.0000,0.0000,0.0000,0.0717
15,0.3933,0.3189,0.4368,0.2695,0.9348,0.4805,0.8024,0.0000,0.0000,0.0001,0.0000,0.3658,0.8596,0.0000,0.7666,0.0000,0.0000,0.8194,0.0000,0.0000,0.0000,0.0000,0.0915
16,0.3772,0.3398,0.4318,0.3005,0.9362,0.5686,0.8089,0.0000,0.0000,0.0622,0.0000,0.4270,0.8594,0.0000,0.7965,0.3192,0.0000,0.8073,0.0000,0.0072,0.0000,0.0000,0.1163
17,0.3631,0.3557,0.4175,0.3091,0.9316,0.5677,0.8136,0.0000,0.0000,0.0964,0.0000,0.4806,0.8494,0.0000,0.8233,0.3967,0.0000,0.8233,0.0000,0.0039,0.0000,0.0000,0.0866
18,0.3486,0.3910,0.4077,0.3249,0.9280,0.5811,0.8177,0.0000,0.0000,0.2306,0.0000,0.5391,0.8611,0.0000,0.8276,0.4614,0.0000,0.8374,0.0000,0.0002,0.0000,0.0000,0.0886
19,0.3354,0.4019,0.4032,0.3300,0.9414,0.5893,0.7984,0.0000,0.0000,0.2301,0.0000,0.5362,0.8603,0.0000,0.8244,0.4999,0.0000,0.8406,0.0000,0.0000,0.0000,0.0000,0.1490
20,0.3292,0.4058,0.4041,0.3387,0.9398,0.5911,0.7894,0.0000,0.0000,0.2773,0.0000,0.5413,0.8478,0.0000,0.7991,0.5415,0.0000,0.8456,0.0000,0.0000,0.0000,0.0000,0.2630
21,0.3234,0.4127,0.4053,0.3282,0.9407,0.5882,0.7779,0.0000,0.0000,0.2809,0.0000,0.5500,0.8467,0.0000,0.7716,0.4649,0.0000,0.8258,0.0000,0.0000,0.0000,0.0000,0.1886
22,0.3176,0.4147,0.3903,0.3373,0.9420,0.6208,0.8177,0.0000,0.0000,0.2937,0.0000,0.5635,0.8698,0.0042,0.8144,0.4578,0.0000,0.8496,0.0000,0.0000,0.0000,0.0000,0.1755
23,0.3103,0.4281,0.3912,0.3476,0.9405,0.6067,0.8024,0.0000,0.0000,0.2707,0.0000,0.5350,0.8628,0.1243,0.8391,0.4966,0.0000,0.8504,0.0000,0.0000,0.0000,0.0000,0.2755
24,0.3021,0.4546,0.3889,0.3665,0.9381,0.5611,0.7992,0.0000,0.0000,0.2940,0.0001,0.5340,0.8658,0.3778,0.7939,0.5791,0.0000,0.8361,0.0000,0.0000,0.0000,0.0000,0.3841
25,0.2905,0.4736,0.3781,0.3692,0.9396,0.5896,0.8114,0.0000,0.0000,0.3132,0.0014,0.5453,0.8695,0.3416,0.8177,0.5772,0.0000,0.8481,0.0000,0.0000,0.0000,0.0000,0.3602
26,0.2821,0.4787,0.3738,0.3738,0.9416,0.6156,0.8183,0.0000,0.0000,0.3169,0.0109,0.5166,0.8713,0.3485,0.8491,0.5898,0.0000,0.8258,0.0000,0.0000,0.0000,0.0000,0.3972
27,0.2774,0.4844,0.3724,0.3802,0.9445,0.6210,0.8069,0.0001,0.0000,0.2956,0.0346,0.5575,0.8673,0.3870,0.8329,0.5802,0.0000,0.8467,0.0000,0.0000,0.0000,0.0000,0.4497
28,0.2702,0.5058,0.3699,0.3832,0.9404,0.6088,0.8235,0.0029,0.0000,0.3288,0.0723,0.4923,0.8726,0.3912,0.8200,0.5872,0.0000,0.8315,0.0000,0.0000,0.0000,0.0000,0.5084
29,0.2658,0.5116,0.3726,0.3812,0.9384,0.5848,0.8106,0.0168,0.0000,0.3137,0.0694,0.5629,0.8693,0.4162,0.8229,0.5829,0.0000,0.8363,0.0000,0.0000,0.0000,0.0000,0.4192
30,0.2633,0.5124,0.3750,0.3864,0.9356,0.6258,0.8100,0.0354,0.0000,0.3036,0.0908,0.5477,0.8726,0.4125,0.8143,0.6027,0.0000,0.7833,0.0000,0.0000,0.0000,0.0000,0.5082
31,0.2568,0.5326,0.3687,0.3923,0.9401,0.6010,0.7996,0.0399,0.0000,0.3612,0.1740,0.4983,0.8743,0.4063,0.8012,0.5918,0.0000,0.8553,0.0000,0.0000,0.0000,0.0000,0.5112
32,0.2501,0.5533,0.3696,0.3922,0.9409,0.5840,0.8109,0.1040,0.0000,0.3261,0.1544,0.5020,0.8746,0.4368,0.8230,0.5656,0.0000,0.8521,0.0000,0.0000,0.0000,0.0000,0.4769
33,0.2463,0.5571,0.3748,0.3921,0.9391,0.5958,0.7840,0.0824,0.0000,0.3212,0.2014,0.5568,0.8461,0.4241,0.7858,0.5779,0.0000,0.8289,0.0000,0.0000,0.0000,0.0000,0.5071
34,0.2438,0.5657,0.3700,0.3907,0.9427,0.6156,0.8020,0.0992,0.0000,0.3183,0.1502,0.4283,0.8659,0.4521,0.8045,0.5705,0.0000,0.8325,0.0000,0.0000,0.0000,0.0000,0.5406
35,0.2387,0.5658,0.3612,0.4036,0.9378,0.6037,0.8211,0.0919,0.0000,0.3566,0.2040,0.5181,0.8670,0.4526,0.8354,0.5878,0.0000,0.8396,0.0000,0.0000,0.0000,0.0000,0.5530
36,0.2376,0.5716,0.3654,0.3979,0.9378,0.5743,0.8206,0.1177,0.0000,0.3488,0.1623,0.5320,0.8707,0.4359,0.8149,0.5862,0.0000,0.8311,0.0000,0.0000,0.0000,0.0000,0.5284
37,0.2346,0.5737,0.3578,0.4026,0.9410,0.6233,0.8203,0.1316,0.0014,0.3659,0.1443,0.5206,0.8716,0.4275,0.8271,0.5850,0.0000,0.8421,0.0000,0.0000,0.0000,0.0000,0.5485
38,0.2304,0.5913,0.3602,0.4115,0.9418,0.6089,0.8170,0.1150,0.1354,0.3475,0.1948,0.5586,0.8726,0.4414,0.8030,0.5801,0.0000,0.8563,0.0000,0.0000,0.0000,0.0000,0.5463
39,0.2253,0.6252,0.3638,0.4060,0.9411,0.6184,0.8061,0.0864,0.1232,0.3388,0.2141,0.5538,0.8640,0.4127,0.8128,0.5657,0.0000,0.8400,0.0000,0.0000,0.0000,0.0000,0.5366
40,0.2229,0.6299,0.3602,0.4146,0.9366,0.6029,0.8201,0.0888,0.1542,0.3389,0.2814,0.5456,0.8674,0.4299,0.8342,0.5833,0.0000,0.8297,0.0000,0.0000,0.0000,0.0000,0.5636
41,0.2209,0.6306,0.3615,0.4144,0.9340,0.6029,0.8210,0.1054,0.1485,0.3561,0.2826,0.5408,0.8728,0.4258,0.8358,0.5776,0.0000,0.8228,0.0000,0.0000,0.0000,0.0000,0.5480
42,0.2193,0.6328,0.3551,0.4179,0.9381,0.5939,0.8276,0.0915,0.1678,0.3490,0.2979,0.5352,0.8691,0.4248,0.8399,0.5967,0.0000,0.8607,0.0000,0.0005,0.0000,0.0008,0.5471
43,0.2156,0.6348,0.3565,0.4218,0.9351,0.5539,0.8323,0.1298,0.1613,0.3659,0.2714,0.5689,0.8723,0.4628,0.8314,0.5946,0.0000,0.8406,0.0000,0.0010,0.0000,0.0131,0.5804
44,0.2125,0.6628,0.3534,0.4264,0.9435,0.6148,0.8250,0.1218,0.1337,0.3620,0.2869,0.5265,0.8728,0.4534,0.8407,0.5986,0.0000,0.8550,0.0000,0.0075,0.0000,0.0901,0.5703
45,0.2081,0.6926,0.3516,0.4332,0.9453,0.6271,0.8239,0.1218,0.1358,0.3568,0.2382,0.5439,0.8757,0.4579,0.8549,0.5929,0.0042,0.8623,0.0000,0.1450,0.0000,0.0914,0.5530
46,0.2058,0.7431,0.3553,0.4280,0.9398,0.6009,0.8204,0.1006,0.1154,0.3704,0.2554,0.5423,0.8740,0.4323,0.8163,0.5902,0.0154,0.8600,0.0000,0.1528,0.0000,0.0881,0.5581
47,0.2027,0.7559,0.3560,0.4286,0.9418,0.6119,0.8189,0.0891,0.1439,0.3418,0.2625,0.5329,0.8729,0.4345,0.8194,0.5995,0.0265,0.8620,0.0000,0.1774,0.0000,0.0713,0.5365
48,0.1985,0.7804,0.3554,0.4271,0.9415,0.6126,0.8160,0.0808,0.0450,0.3609,0.2667,0.5504,0.8746,0.4380,0.8385,0.5950,0.0996,0.8572,0.0000,0.1186,0.0000,0.0367,0.5835
49,0.1968,0.7768,0.3532,0.4334,0.9417,0.6165,0.8133,0.0845,0.0858,0.3605,0.2954,0.5172,0.8727,0.4064,0.8234,0.5961,0.1235,0.8622,0.0000,0.1474,0.0000,0.1060,0.5829
50,0.1950,0.7935,0.3519,0.4377,0.9410,0.6089,0.8282,0.1139,0.1969,0.3480,0.2869,0.5378,0.8726,0.4544,0.8255,0.5272,0.1619,0.8446,0.0000,0.1378,0.0000,0.0617,0.5697
51,0.1922,0.8004,0.3490,0.4448,0.9436,0.6139,0.8255,0.1104,0.1383,0.3548,0.3252,0.5388,0.8766,0.4625,0.8432,0.6055,0.1001,0.8564,0.0000,0.1509,0.0000,0.1235,0.5819
52,0.1899,0.8059,0.3507,0.4356,0.9417,0.6141,0.8289,0.0845,0.1242,0.3717,0.2651,0.5510,0.8773,0.4341,0.8398,0.6000,0.0784,0.8525,0.0000,0.1233,0.0000,0.1045,0.5844
53,0.1886,0.8050,0.3501,0.4404,0.9423,0.6077,0.8235,0.1002,0.1267,0.3728,0.3081,0.5728,0.8778,0.4503,0.8258,0.5963,0.1032,0.8558,0.0000,0.1382,0.0000,0.0674,0.5977
54,0.1868,0.8105,0.3542,0.4325,0.9406,0.6033,0.8258,0.0702,0.1280,0.3392,0.2670,0.5505,0.8717,0.4307,0.8431,0.5888,0.0899,0.8568,0.0000,0.1475,0.0000,0.1202,0.5444
55,0.1856,0.8109,0.3525,0.4357,0.9451,0.6260,0.8214,0.0816,0.1310,0.3503,0.2914,0.5330,0.8751,0.4483,0.8357,0.5961,0.0705,0.8565,0.0000,0.1529,0.0000,0.0821,0.5813
56,0.1840,0.8184,0.3509,0.4433,0.9457,0.6333,0.8197,0.1026,0.1573,0.3624,0.3119,0.5558,0.8728,0.4374,0.8332,0.5852,0.1066,0.8582,0.0000,0.1755,0.0000,0.1079,0.5572
57,0.1823,0.8215,0.3515,0.4340,0.9475,0.6381,0.8205,0.1127,0.1077,0.3571,0.2687,0.5223,0.8745,0.4455,0.8369,0.5860,0.0621,0.8598,0.0000,0.1417,0.0000,0.0776,0.5880
58,0.1816,0.8162,0.3526,0.4393,0.9446,0.6124,0.8205,0.1311,0.1016,0.3674,0.2854,0.5492,0.8739,0.4667,0.8398,0.5759,0.1202,0.8646,0.0000,0.1572,0.0000,0.1255,0.5101
59,0.1809,0.8192,0.3523,0.4349,0.9457,0.6269,0.8166,0.0908,0.0941,0.3561,0.2982,0.5312,0.8745,0.4586,0.8418,0.5876,0.0735,0.8625,0.0000,0.1502,0.0000,0.0722,0.5817
60,0.1795,0.8254,0.3503,0.4413,0.9461,0.6318,0.8229,0.1123,0.1544,0.3624,0.2965,0.5375,0.8773,0.4562,0.8350,0.5927,0.1046,0.8551,0.0000,0.1588,0.0000,0.0883,0.5530
61,0.1782,0.8306,0.3548,0.4321,0.9475,0.6400,0.8128,0.0951,0.0694,0.3332,0.2806,0.5222,0.8777,0.4488,0.8332,0.5914,0.1144,0.8566,0.0001,0.1233,0.0000,0.0704,0.5937
62,0.1771,0.8312,0.3555,0.4340,0.9430,0.6082,0.8199,0.1032,0.1134,0.3359,0.2934,0.5250,0.8734,0.4494,0.8351,0.5942,0.1013,0.8547,0.0001,0.1383,0.0000,0.0782,0.5793
63,0.1760,0.8351,0.3508,0.4388,0.9463,0.6296,0.8242,0.1067,0.1053,0.3542,0.2910,0.5279,0.8761,0.4521,0.8326,0.5912,0.1066,0.8638,0.0000,0.1555,0.0000,0.0813,0.5923
64,0.1757,0.8345,0.3545,0.4354,0.9428,0.6153,0.8202,0.0943,0.1143,0.3644,0.2822,0.5468,0.8742,0.4401,0.8390,0.5960,0.0859,0.8581,0.0001,0.1489,0.0000,0.0753,0.5757
65,0.1751,0.8355,0.3530,0.4337,0.9463,0.6272,0.8214,0.0871,0.1094,0.3526,0.2793,0.5404,0.8772,0.4255,0.8356,0.5938,0.0986,0.8593,0.0008,0.1510,0.0000,0.0602,0.5752
66,0.1745,0.8364,0.3529,0.4378,0.9457,0.6301,0.8184,0.0970,0.1076,0.3553,0.2731,0.5464,0.8756,0.4613,0.8360,0.5979,0.0774,0.8643,0.0002,0.1586,0.0000,0.0815,0.5911
67,0.1741,0.8362,0.3547,0.4347,0.9455,0.6248,0.8185,0.0969,0.1237,0.3406,0.2745,0.5262,0.8759,0.4525,0.8457,0.5959,0.0876,0.8592,0.0005,0.1467,0.0000,0.0738,0.5707
68,0.1731,0.8380,0.3595,0.4289,0.9440,0.6177,0.8108,0.0856,0.0982,0.3354,0.2680,0.5310,0.8735,0.4427,0.8273,0.5900,0.0888,0.8568,0.0009,0.1341,0.0000,0.0852,0.5582
69,0.1724,0.8419,0.3573,0.4296,0.9438,0.6192,0.8151,0.0847,0.0853,0.3456,0.2896,0.5255,0.8734,0.4461,0.8437,0.5974,0.0745,0.8543,0.0012,0.1158,0.0000,0.0682,0.5793
70,0.1718,0.8431,0.3576,0.4305,0.9462,0.6269,0.8167,0.0966,0.1157,0.3252,0.2890,0.5079,0.8728,0.4440,0.8217,0.5911,0.0938,0.8568,0.0002,0.1453,0.0000,0.0527,0.5759
71,0.1714,0.8420,0.3586,0.4285,0.9465,0.6332,0.8084,0.0851,0.0849,0.3302,0.2738,0.4900,0.8755,0.4433,0.8276,0.5731,0.1064,0.8601,0.0006,0.1265,0.0000,0.0990,0.5772
72,0.1708,0.8457,0.3555,0.4360,0.9465,0.6355,0.8173,0.0966,0.1080,0.3412,0.2905,0.5136,0.8720,0.4508,0.8345,0.5945,0.1028,0.8579,0.0018,0.1491,0.0000,0.0961,0.5761
73,0.1705,0.8488,0.3548,0.4339,0.9455,0.6270,0.8230,0.0975,0.1226,0.3546,0.2869,0.5298,0.8728,0.4415,0.8395,0.5999,0.0855,0.8503,0.0015,0.1315,0.0000,0.0564,0.5783
74,0.1698,0.8452,0.3542,0.4359,0.9470,0.6369,0.8197,0.0965,0.1024,0.3502,0.2987,0.5312,0.8756,0.4537,0.8372,0.5977,0.0810,0.8582,0.0013,0.1367,0.0000,0.0854,0.5723
75,0.1693,0.8512,0.3529,0.4384,0.9476,0.6412,0.8192,0.0975,0.1030,0.3540,0.2962,0.5323,0.8756,0.4537,0.8307,0.5967,0.1032,0.8597,0.0023,0.1471,0.0000,0.0865,0.5832
76,0.1688,0.8539,0.3548,0.4358,0.9463,0.6302,0.8155,0.0933,0.1065,0.3584,0.2937,0.5215,0.8755,0.4518,0.8319,0.5959,0.0933,0.8600,0.0012,0.1542,0.0000,0.0733,0.5779
77,0.1685,0.8574,0.3552,0.4349,0.9454,0.6240,0.8199,0.0965,0.1139,0.3591,0.2882,0.5289,0.8738,0.4527,0.8305,0.5970,0.0784,0.8562,0.0019,0.1412,0.0000,0.0717,0.5838
78,0.1680,0.8537,0.3553,0.4352,0.9461,0.6309,0.8183,0.0916,0.1054,0.3574,0.2860,0.5354,0.8756,0.4503,0.8304,0.5991,0.0829,0.8588,0.0020,0.1360,0.0000,0.0782,0.5851
79,0.1680,0.8630,0.3558,0.4355,0.9442,0.6169,0.8180,0.0953,0.1163,0.3554,0.2944,0.5244,0.8743,0.4476,0.8326,0.5990,0.1054,0.8586,0.0025,0.1402,0.0000,0.0682,0.5819
80,0.1676,0.8634,0.3567,0.4354,0.9447,0.6240,0.8183,0.1033,0.1035,0.3536,0.2924,0.5310,0.8742,0.4566,0.8335,0.5954,0.0887,0.8548,0.0030,0.1424,0.0000,0.0741,0.5788
81,0.1674,0.8670,0.3570,0.4307,0.9460,0.6312,0.8164,0.0864,0.0940,0.3428,0.2812,0.5270,0.8747,0.4391,0.8294,0.5951,0.0915,0.8553,0.0025,0.1300,0.0000,0.0752,0.5658
82,0.1669,0.8631,0.3555,0.4341,0.9455,0.6317,0.8198,0.0938,0.1028,0.3517,0.2848,0.5282,0.8750,0.4511,0.8319,0.5955,0.0898,0.8535,0.0029,0.1398,0.0000,0.0750,0.5757
83,0.1667,0.8714,0.3552,0.4352,0.9469,0.6349,0.8178,0.1027,0.1132,0.3533,0.2871,0.5277,0.8751,0.4500,0.8291,0.5968,0.0842,0.8571,0.0034,0.1454,0.0000,0.0702,0.5730
84,0.1665,0.8769,0.3561,0.4346,0.9453,0.6278,0.8194,0.0958,0.1052,0.3526,0.2912,0.5421,0.8749,0.4433,0.8343,0.5978,0.0777,0.8563,0.0024,0.1415,0.0000,0.0799,0.5706
85,0.1663,0.8753,0.3572,0.4316,0.9459,0.6289,0.8169,0.0925,0.1008,0.3531,0.2797,0.5213,0.8746,0.4518,0.8307,0.5920,0.0886,0.8530,0.0029,0.1230,0.0000,0.0696,0.5756
86,0.1660,0.8887,0.3560,0.4344,0.9459,0.6331,0.8173,0.0919,0.1027,0.3517,0.2898,0.5337,0.8749,0.4566,0.8308,0.5967,0.0846,0.8543,0.0030,0.1362,0.0000,0.0723,0.5773
87,0.1659,0.8899,0.3579,0.4319,0.9463,0.6309,0.8145,0.0940,0.1061,0.3497,0.2807,0.5218,0.8731,0.4490,0.8245,0.5911,0.0829,0.8571,0.0025,0.1383,0.0000,0.0687,0.5747
88,0.1658,0.8894,0.3572,0.4331,0.9455,0.6293,0.8177,0.0914,0.1073,0.3489,0.2886,0.5301,0.8739,0.4450,0.8297,0.5935,0.0823,0.8568,0.0039,0.1435,0.0000,0.0694,0.5711
89,0.1655,0.8830,0.3576,0.4328,0.9454,0.6287,0.8170,0.0947,0.1053,0.3489,0.2838,0.5266,0.8747,0.4509,0.8287,0.5948,0.0831,0.8565,0.0028,0.1388,0.0000,0.0706,0.5713
90,0.1654,0.8799,0.3573,0.4327,0.9456,0.6309,0.8167,0.0899,0.0979,0.3537,0.2784,0.5224,0.8755,0.4546,0.8311,0.5946,0.0804,0.8588,0.0030,0.1429,0.0000,0.0732,0.5717
91,0.1653,0.8863,0.3587,0.4323,0.9445,0.6247,0.8146,0.0926,0.1034,0.3463,0.2799,0.5197,0.8736,0.4479,0.8338,0.5912,0.0864,0.8577,0.0029,0.1511,0.0000,0.0736,0.5707
92,0.1652,0.8855,0.3574,0.4335,0.9463,0.6314,0.8164,0.0953,0.1043,0.3521,0.2819,0.5280,0.8739,0.4503,0.8292,0.5959,0.0863,0.8568,0.0025,0.1424,0.0000,0.0735,0.5696
93,0.1653,0.8931,0.3573,0.4333,0.9454,0.6279,0.8166,0.0935,0.1106,0.3522,0.2833,0.5224,0.8742,0.4547,0.8290,0.5953,0.0826,0.8575,0.0035,0.1447,0.0000,0.0681,0.5707
94,0.1649,0.8915,0.3585,0.4321,0.9452,0.6235,0.8151,0.0946,0.1021,0.3466,0.2866,0.5180,0.8740,0.4514,0.8288,0.5945,0.0840,0.8566,0.0034,0.1394,0.0000,0.0710,0.5747
95,0.1650,0.8892,0.3593,0.4310,0.9443,0.6182,0.8147,0.0936,0.1052,0.3451,0.2815,0.5164,0.8728,0.4457,0.8301,0.5932,0.0786,0.8572,0.0027,0.1443,0.0000,0.0721,0.5732
96,0.1650,0.8955,0.3587,0.4315,0.9455,0.6267,0.8150,0.0905,0.0985,0.3479,0.2877,0.5191,0.8736,0.4484,0.8285,0.5919,0.0867,0.8552,0.0030,0.1337,0.0000,0.0744,0.5723
97,0.1648,0.8882,0.3580,0.4318,0.9451,0.6275,0.8169,0.0938,0.0940,0.3490,0.2872,0.5208,0.8739,0.4524,0.8297,0.5928,0.0884,0.8541,0.0025,0.1306,0.0000,0.0697,0.5751
98,0.1648,0.8952,0.3582,0.4323,0.9455,0.6268,0.8163,0.0908,0.0985,0.3480,0.2845,0.5287,0.8745,0.4452,0.8291,0.5947,0.0846,0.8547,0.0029,0.1412,0.0000,0.0780,0.5688
99,0.1649,0.8952,0.3576,0.4326,0.9458,0.6318,0.8159,0.0920,0.1034,0.3484,0.2802,0.5210,0.8745,0.4505,0.8325,0.5969,0.0848,0.8569,0.0023,0.1422,0.0000,0.0666,0.5740
100,0.1647,0.8950,0.3585,0.4310,0.9454,0.6256,0.8147,0.0944,0.1023,0.3478,0.2769,0.5191,0.8741,0.4488,0.8273,0.5966,0.0814,0.8565,0.0025,0.1425,0.0000,0.0619,0.5719
